0.0.1;C3;Rust compiler checks for unreachable code, warnings will be generated. Unused \texttt{Result} types (Rust's error type) will also generate a warning, as do unused variables in general. Unused variable warnings can be promoted to compiler errors. (\url{https://doc.rust-lang.org/rustc/lints/listing/warn-by-default.html#unreachable-code})
0.0.2;C6;Rust does not prevent invariant controlling expressions (see example \texttt{if}, \texttt{while}), and does generally not give a warning. Rust can emit warnings if the comparison is useless due to type limits (\url{https://play.rust-lang.org/?version=stable&mode=debug&edition=2024&gist=57651b13a36c6e24c90ee9051277194f}). Regarding \texttt{for}-loops: Rust does act on ranges, so there is no controlling expression.
0.1.1;C6;Rust compiler gives warning for values that are assigned, but not read. Unused variables (which are destroyed before being observed) also throw a warning. Writing to values in a loop, before reading or observing them, does not trigger a warning. Therefore the rule is not exhaustively handled. Both warnings can be promoted to compilation errors.
0.1.2;C6;For a general unused return value, there is no warning given. Rust's error type \texttt{Result} produces an explicit compiler warning if its returned values are unused. Rust provides a language feature for annotating custom functions as \texttt{\#[must\_use]}, requiring callers to use the return value. If not, a compiler warning is emitted. Additionally, the standard library provides \texttt{\#[must\_use]} annotations for critical functions: \url{https://std-dev-guide.rust-lang.org/policy/must-use.html}. The warnings can be promoted to a compilation error.
0.2.1;C3; In Rust, declared variables have to be initialized before use. Unused variables throw a compilation warning, which is promotable to a compilation error (See example for rule 0.0.1, `Rust Reference: Variables p. 375/432').
0.2.2;C3;Per the rationale, this rule is specifically relevant when providing implementations for virtual functions in \Cpp. As Rust does not have a directly comparable concept, the same reasoning as for rule 0.2.1 applies. Unused variables will give a compiler warning in any case. As a remark, the compiler directive \texttt{\#[allow(unused)]} exists in Rust, which is comparable to \texttt{[[maybe\_unused]]} in \Cpp. Usage of this directive should be addressed in future Rust guidelines. The warning is promotable to a compilation error.
0.2.3;C3;Unused type alias produces compilation warning. Rust does not have an equivalent for an unnamed namespace, the equivalent for a namespace is a module. Unused type aliases in a named module also throw a compilation warning. The warnings are promotable to compilation errors.
0.2.4;C3;Functions with non-public visibility in structs and non-public modules with functions of any visibility produce warnings when unused. The warnings are promotable to compilation errors.
0.3.1;C6;Rust does not provide suspicious (imprecise) use warnings. Signalling for infinities exist, but the rationale behind the directive is not satisfied. Rust supports floating-point arithmetic, but appropriate usage depends on context and application-level constraints. By default Rust uses 64-bit floating-point numerical types, which lessens the accumulation of precision errors in common use cases.
0.3.2;C6;Naturally applies, as there can be arbitrary preconditions for any function defined by a programmer. Rust does not enforce preconditions automatically, but the type system and traits support this via \texttt{Option}s, \texttt{Result}s and the newtype pattern: \url{https://play.rust-lang.org/?version=stable&mode=debug&edition=2024&gist=7a2572eed534710a62a2572d980e728a}.
4.1.1;C5;No comparable standard exists for the Rust programming language yet, but should it exist, this rule would be required. Active work is being done: \url{https://github.com/rust-lang/rust/issues/113527}, \url{https://github.com/rust-lang/reference}.
4.1.2;C6;This rule naturally applies to the Rust programming language. Details in the rationale refer to specific \Cpp standards to identify deprecated features. Deprecated is already defined in rust: \url{https://rust-lang.github.io/rfcs/1270-deprecation.html}. The attribute emits a compilation warning by default, which can be promoted to a compilation error. See example.
4.1.3;C4;This rule naturally applies to code in safe Rust. Such code either works or panics. A non exhaustive list of behaviour considered undefined in Rust can be found in `Rust Reference, page 404/432'.
4.6.1;C4;The Rust borrow checker guarantees that only one mutable reference to any memory location exists at one point in time. This naturally enforces a sequencing of accesses. However, unsafe Rust still requires manual sequence awareness by developers. See `Rust Programming Language: Mutable References, Page 92/626'.
5.0.1;C2;Rust does not have a trigraph equivalent.
5.7.1;C3;Rust expects a closing marker for every opened comment block with \texttt{/\*}. In case there is not a matching number of closing markers, the Rust compiler throws an error.
5.7.2;C6;This directive naturally applies for Rust as well, as there is no restriction on code in comments.
5.7.3;C3;Rust does not have a line-splicing syntax like \Cpp. The line-splicing\texttt{\\} escape symbol only has effect within strings, comments are unaffected, as demonstrated in the example.
5.10.1;C3;Rust, like \Cpp, conforms to Unicode definitions to allow identifiers as described in `Rust Reference: Identifiers p. 12/432'. Identifiers are not allowed to have a reserved name, except when marked with the \texttt{r\#} prefix, and the usable character set is restricted in certain syntactical positions. The intended restriction the MISRA rule enforces is already enforced due to the identifier definition and syntax choice of Rust.
5.13.1;C3;The grammar accepted by the lexer for character and string literals is given in `Rust Reference p. 22/432'. Any expression not conforming to these rules will/should give a compilation error.
5.13.2;C3;Rust does not support octal escape sequences inside of string literals. Rust enforces termination, as can be seen in the example. For hexadecimal escape sequences in Rust, the lexer only accepts the literal in pairs of two. Therefore, the rationale does not apply anymore.
5.13.3;C3;The rationale for the rule is to avoid confusion, as in \Cpp a leading \texttt{0} marks an octal constant. In Rust, the leading \texttt{0} is ignored. To create an octal value, the \texttt{0o} prefix is required, leaving no room for confusion.
5.13.4;C3;Rust supports explicit suffixing of unsigned integer literals to specify their type. Common suffixes include \texttt{u8}, \texttt{u16}, \texttt{u32}, \texttt{u64}, \texttt{u128}, and \texttt{usize}. However, Rust does not have automatic integer promotion and its type system is platform-consistent. The rationale of this rule does not apply anymore.
5.13.5;C3;Rust does not have a \texttt{L} suffix to denote long integers. Only explicit suffixes are used (\texttt{u64}, \texttt{i64}).
5.13.6;C3;See explanation for rule 5.13.5, Rust uses explicit suffixes for \texttt{long} integers.
5.13.7;C3;Rust exposes only one String type (UTF8-encoded) in the standard library (`Rust Programming Language: What is a String? p.181/626'), as a String literal denoted as ``\texttt{..}''. Furthermore Raw string literals, Byte string literals, raw byte string literals and character literals exist (`Rust Programming Language, Table B-2 p. 608/626'), which are explicit in their type and can not be concatenated directly (see example).
6.0.1;C3;Function definitions in block scope are possible, but free functions always require a body in Rust, not just a declaration. Furthermore due to the syntax definition in Rust, no ambiguity as adressed by the rule can be forced in Rust (see example).
6.0.2;C6;Rust always requires explicit size for an array, external linkage included (see example).
6.0.3;C5;Part of the rationale for this rule is the influence of include ordering on program behaviour. Due to strict rules of unambigous names when using crates in Rust, this rule is partly satisfied. Prevention of cluttering during lookup still requires following this rule in Rust code (see example). A potential adaptation could involve the usage of `prelude' modules that are often used within the Rust ecosystem.
6.0.4;C6;Use of name \texttt{main} is possible in modules, rule also applies for Rust (see example).
6.2.1;C4;The explicit typing in Rust prevents the definition of two identical types within the same translation unit (compilation unit a.k.a. crate). However, some loop holes exist. The usage of the \texttt{no\_mangle} attribute allows one to define and link against two function versions of the same name. Ultimately, the resulting run-time behavior, as in the case of C/\Cpp, depends on the linker used for the final binary. The attribute is usable within safe Rust until edition 2024. From edition 2024, the attribute is marked \texttt{unsafe}. See example 6.2.1.
6.2.2;C3;Rust does not allow overloading like \Cpp, duplicate names (with or without different arguments) will always result in a compilation error (see example, also example for rule 6.0.4, 6.0.3).
6.2.3;C3;Multiple definitions of the same entity always result in a compilation error. The rule allows identical definitions in seperate translation units.In Rust even this will cause a compilation error, when ambigous definitions are imported/used.
6.2.4;C4;Rust has no notion of header files. This rule's goal is to prevent violations of the one-definition rule. This is possible in unsafe Rust (see 6.2.1).
6.4.1;C6;Rust allows shadowing in inner scopes (see example). However, the original rationale mentions developer confusion as the reason for the rule. Rust style guidelines advocate for variable rebinding as a form of clean code style. Additionally, global variable names are uppercase snakecase names and checked using lints.
6.4.2;C5;While Rust supports some form of inheritance using traits, Rust does not allow arbitrary method concealing. Traits fundamentally work by exposing all methods that they define on their implementation type. Structs can only shadow trait methods, but can never fully conceal them to consumers (see second example). Rust does not provide the possibility to have two functions with the same name and different parameter types. However, in a strict sense, the same behavior is present in Rust as it is in \Cpp, due to the way traits work in general.
6.4.3;C3;As Rust handles resolution of names in an explicit way with a hierarchical order, any kind of unqualified lookup is not possible Rust Reference: Namespaces p. 350/432' (also see reasoning for rules 6.0.2, 6.0.3, 6.0.4, 6.2.1).
6.5.1;C5;Rust has no notion of header files. External linkage has to be explicitly typed, see `Rust Reference: Functions p. 118/432'. Accessing the functions and objects defined with external linkage (such as \texttt{extern "C"}) is only possible within an \texttt{unsafe} context since edition 2024. However, similar behavior to headers can be achieved with Rust modules and using public visibility modifiers.
6.5.2;C4;It is possible to specify linkage in a non-compliant way (see example, unsafe since 2024).
6.7.1;C4;The rationale is possible race conditions. \texttt{mut static} variables in Rust can not be changed without an \texttt{unsafe} context. So possible Race conditions in a safe Rust context are guarded against, and the restriction on placement of static variables are not neccessary (see example).
6.7.2;C4;Rationale is uncontrolled mutability of global variables from arbitrary parts of the program, as well as unspecified initialization. See reasoning for rule 6.7.1, in Rust mutable global variables cannot be accessed without an \texttt{unsafe} block. For safe access, mutual exclusion mechanisms are enforced via the \texttt{Send} trait. However, the implementation of the \texttt{Send} trait can be done for arbitrary, custom data types within an \texttt{unsafe} context. Still, global variables can increase program complexity/unpredictability as described in the rationale.
6.8.1;C4;Rust's strong lifetime checks prevent an access after end of life. Any references require lifetime annotations, unless lifetime elision is possible. In that way the compiler can verify that objects are not accessed after their lifetime ends (see `Rust Reference: Lifetime bounds p. 323/432', `Lifetime elision p. 339/432', `Rust Programming Language: Validating References with Lifetimes p. 243/626ff'). \texttt{unsafe} blocks do not bypass lifetime checks, but they do allow for raw pointer operations, resulting in a necessary application of this rule in unsafe Rust. See example.
6.8.2;C3;Rust requires a lifetime annotation for returned references (which can never be valid for local variables), and additionally prohibits return of references to local variables. Returning a dangling pointer is safe to do in Rust, but results in a warning. Dereferencing the pointer is unsafe and will cause UB (see example). The warning can be promoted to a compilation error.
6.8.3;C3;Due to compiler checks of lifetime, assigning references without compatible lifetimes is not allowed (see example, also example and reasoning for rule 6.8.2, 6.8.1).
6.8.4;C4;\Cpp distinction between methods callable on \textit{lvalue} and \textit{rvalue} objects does not directly correspond to a mechanism in Rust. The rationale of preventing dangling references is covered by lifetime checks, for member and non-member functions alike. (see rule 6.8.1). Some checks are in place for unsafe Rust: \url{https://doc.rust-lang.org/rustc/lints/listing/warn-by-default.html#dangling-pointers-from-locals}.
6.9.1;C3;Multiple definitions with the same name are not allowed and overloading does not exist (see example).
6.9.2;C3;Rust integer types for the most part include their size in the type name. The only exception is the type \texttt{usize} and \texttt{isize} (`Rust Programming Language: Integer Types p. 48/626').
7.0.1;C6;Rust has explicit conversion from type \texttt{bool} (see `Rust Reference: Type cast expressions p. 205/432').
7.0.2;C4;Rust has no implicit or explicit conversion to type \texttt{bool} (see `Rust Reference: Type cast expressions p. 205/432').
7.0.3;C4;Explicit cast from char to an integer type and the reverse is possible (`Rust Reference: Type cast expressions p. 205/432'). However, the value of a char is well-defined and unicode-safe. The check can be circumvented in unsafe Rust.
7.0.4;C3;Rust enforces matching left- and right-hand types during compilation. It is not possible to shift with values greater than the \textit{lvalue} type.
7.0.5;C3;Rust does not have a comparable integral promotion like \Cpp from smaller to larger integer types. Promotion has to be explicit (see example).
7.0.6;C6;Compile time assignments are checked for appropriateness, during runtime assignments with e.g. overflow will result in a panic if running in debug mode (see example).
7.11.1;C4;Rust does not have the notion of raw pointers in a non-\texttt{unsafe} context, including the \texttt{nullptr} (`Rust Reference: Raw Pointers p. 289/432'). Its equivalent, \texttt{std::ptr::null}, is not of type integer, but uses generics to match its return value.
7.11.2;C3;An array is a fixed-size sequence in Rust, passing as a reference is possible. In contrast to \Cpp, the reference is a \textit{slice} type, not a raw pointer, and bounds are still checked during compilation and runtime `Rust Reference: Array types, Slice types p. 279/432ff' (see example). Arrays passed over FFI boundaries are out of scope.
7.11.3;C3;Function item and function pointer types are explicit in Rust, no ambiguity is possible; `Rust Reference: Function item types p. 284/432'. The rationale of the rule does not apply to Rust due to its stricter type system.
8.0.1;C6;Rust has less operators and expressions (`Rust Reference: Expression precedence p. 180/432'), but the rule naturally applies.
8.1.1;C3;Rationale is to prevent undefined behaviour, if the lambda is called after the object's lifetime ends. In Rust, lifetime checks prevent this (see example).
8.1.2;C3;Rationale is to prevent dangling pointers in the lambda (in a Rust closure). Due to lifetime checks, this is not possible in Rust (see rule 8.1.1). The misleading or confusing interpretation problem is solved by Rust's choice of syntax: the \texttt{move} keyword.
8.2.1;C4;In Rust, the \texttt{dyn} keyword can be used to describe trait behaviour without specifying an explicit type at compile time. Cast to a specific type (corresponding to a derived class in \Cpp) can be done with the call \texttt{downcast\_ref::\textless DerivedType\textgreater}, which corresponds to this rule's requirements; `Rust Programming Language: Defining a Trait for Common Behavior p. 462/626'.
8.2.2;C3;Type casts in Rust are explicit. The rationale for this rule is prevention of implicit or hard to identify type casts should be satisfied by this (see `Rust Reference: Type cast expressions p. 205/432').
8.2.3;C4;Rust enforces strict ownership and borrowing rules that prevent casting from removing immutability or mutability qualifiers (`Rust Reference: Type cast expressions p. 205/432').
8.2.4;C4;Rust enforces strict type safety and does not allow arbitrary casts between function pointers and other types. Only safe and explicit casts are permitted, ensuring that undefined behavior is avoided (`Rust Reference: Type cast expressions p. 205/432').
8.2.5;C4;Rust equivalent would be function \texttt{std::mem::transmute}, which can only be used in an \texttt{unsafe} context.
8.2.6;C4;Cast from pointer to pointer, and pointer to address and reverse are allowed. Furthermore is this section of the reference not fully documented. This rule is still safely handled, as all pointer dereferences have to be in an \texttt{unsafe} block (`Rust Reference: Type cast expressions p. 205/432').
8.2.7;C4;Interpreting a pointer type as integer will yield that pointer's address in Rust. Accessing a pointer has to be handled in an \texttt{unsafe} block (`Rust Reference: Type cast expressions p. 205/432'). The rationale of the rule still holds in \texttt{unsafe} context. However, such casts have to reside within \texttt{unsafe} blocks, providing developers a strong indication that they have to pay extra attention for the contained code.
8.2.8;C4;Rust has no direct correspondence to specific pointer types, but pointer access is handled in an \texttt{unsafe} block (`Rust Reference: Type cast expressions p. 205/432').
8.2.9;C4;Rust's \texttt{typeid} equivalent uses a strongly typed approach, that enforces a runtime check, and therefore there is no ambiguity (see example).
8.2.10;C6;Recursion is possible, therefore this rule applies (see example).
8.2.11;C4;Rust does not have a direct equivalent to ellipsis (variadic functions), as variadic functions are only allowed in external (C-)function blocks (`Rust Reference: Function parameters p.78/432', \url{https://doc.rust-lang.org/reference/items/external-blocks.html#r-items.extern.v}).
8.3.1;C3;Rust utilizes only explicit integer promotions, due to the type system applying the \texttt{-} operator to an unsigned integer results in a compilation error (see example).
8.3.2;C3;Rationale for this rule is the integral promotion triggered by the operator. As Rust only has explicit promotion, this rule does not apply (see example for 8.3.1).
8.7.1;C4; Dereferencing a raw pointer is an unsafe operation in Rust, therefore the rationale behind this rule is satisfied (`Rust Reference: Raw Pointers p. 289/432').
8.7.2;C4;Operations on raw pointers and dereferencing the result is an unsafe operation in Rust, therefore the rationale behind this rule is satisfied (`Rust Reference: Raw Pointers p. 289/432').
8.9.1;C4;Comparison between pointers is an unsafe operation in Rust, therefore the rationale behind this rule is satisfied (`Rust Reference: Raw Pointers p. 289/432', see example).
8.14.1;C6;Persistent side effects are possible (see example).
8.18.1;C4;The Rust equivalent to \texttt{std::memcpy} is \texttt{std::ptr::copy}, which is semantically equivalent to \texttt{std::memmove} per documentation: \url{https://doc.rust-lang.org/std/ptr/fn.copy.html}.
8.18.2;C3;In contrast to \Cpp, the return type of an assignment is always \texttt{()}. Due to the strict type system, there is no ambiguity (see example).
8.19.1;C2;Sequencing of expressions uses blocks \texttt{\{\}} in Rust, the comma operator does not exist. This can be seen as less ambiguous (see example).
8.20.1;C6;Const values are evaluated at compile time in Rust, overflows won't always cause a compilation error – but a panic at runtime. To force wrapping, explicit functions have to be used (see example).
9.2.1;C3;Rust syntax for explicit type conversion is unambiguous. The rationale of accidental release of resources due to unclear syntax is solved by this (see example). Resources in Rust are usually dropped by implementing the \texttt{Drop} trait. Once a locked \texttt{Mutex} is dropped, its resource is released. However, it is syntactically not possible to construct and release such a mutex while causing ambiguity.
9.3.1;C3;In Rust, iteration and selection-statements always require curly braces \texttt{\{\}}, satisfying the rationale of unambiguous compound-statements (`Rust Reference: Loops and other breakable expressions p. 230/432').
9.4.1;C6;Termination with an \texttt{else} statement is not required in Rust (see example).
9.4.2;C3;Rust has no \texttt{switch} statement, the closest equivalent could be a \texttt{match} expression. The rules ensure the complex structure of a switch statement is ``well-formed''. Rust \texttt{match} statements are required to be exhaustive and have clear pattern matching syntax using logical boolean operators, removing all of the ambiguity.
9.5.1;C3;Rationale for this rule is the prevention of unclear number of iterations in a for loop. Due to strict type checks and immutability of the chosen loop index variable, equivalent dangers like in legacy for statements in \Cpp are not present (see example).
9.5.2;C2;In Rust, the \texttt{for} loop initializer typically uses ranges or iterators, which do not utilize function calls in the same manner as a for-range-initializer (`Rust Reference: Predicate pattern loops p. 231/431'). An adaptation of the rule is not required, as the rationale states that the rule shall prevent UB related to object lifetime violations. Due to Rust's borrow checker, these do not occur.
9.6.1;C2;Rust does not have a \texttt{goto} statement, which inherently satisfies this rule and prevents the associated risks.
9.6.2;C2;See explanation rule 9.6.1
9.6.3;C2;See explanation rule 9.6.1
9.6.4;C3;In Rust, functions that do not return are indicated with the \texttt{!} type. This ensures that the function does not return to the caller. The compiler errors if a function does return instead (see example and `Rust Reference: Never type p. 277/432').
9.6.5;C3;Rust's strong type system enforces that functions with a non-void return type must return a value on all paths. The Rust compiler checks for this at compile time, ensuring that all code paths in a function return a value of the specified type, even with abstract return types (see example and `Rust Reference: Abstract return types p. 297/432').
10.0.1;C2;Rust does not have declaration without initialization before use (`Rust Reference: Variables p. 375/432').
